Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Publication.Date,Event.Year,Total_Extracted_Injuries
Accident,SEA87LA080,1948-10-24,"MOOSE CREEK, ID",United States,,,,,Fatal(2),,NC6404,stinson,108-3,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,,1948,2
Accident,LAX94LA336,1962-07-19,"BRIDGEPORT, CA",United States,,,,,Fatal(4),,N5069P,piper,pa24-180,No,1.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,19-09-1996,1962,4
Accident,NYC07LA005,1974-08-30,"Saltville, VA",United States,36.922222999999995,-81.878056,,,Fatal(3),,N5142R,cessna,172m,No,1.0,Reciprocating,,,Personal,,3.0,0.0,0.0,1.0,26-02-2007,1974,3
Accident,LAX96LA321,1977-06-19,"EUREKA, CA",United States,,,,,Fatal(2),,N1168J,rockwell,112,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,12-09-2000,1977,2
Accident,CHI79FA064,1979-08-02,"Canton, OH",United States,,,,,Fatal(1),,N15NY,cessna,501,No,1.0,Reciprocating,,,Personal,,1.0,2.0,0.0,0.0,16-04-1980,1979,1
Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,42.445277000000004,-70.758333,,,Non-Fatal,Airplane,CF-TLU,mcdonnell douglas,dc9,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,Personal,Air Canada,0.0,0.0,1.0,44.0,19-09-2017,1979,0
Accident,CHI81LA106,1981-08-01,"COTTON, MN",United States,,,,,Fatal(4),,N4988E,cessna,180,No,1.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,06-11-2001,1981,4
Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,,,,BLACKBURN AG STRIP,Non-Fatal,Airplane,N2482N,cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,01-01-1982,1982,0
Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,,,N58,HANOVER,Non-Fatal,Airplane,N7967Q,cessna,401b,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,01-01-1982,1982,0
Accident,MIA82DA029,1982-01-01,"JACKSONVILLE, FL",United States,,,JAX,JACKSONVILLE INTL,Non-Fatal,,N3906K,north american,navion l-17b,No,1.0,Reciprocating,,,Personal,,0.0,0.0,3.0,0.0,01-01-1982,1982,0
Accident,FTW82DA034,1982-01-01,"HOBBS, NM",United States,,,,,Non-Fatal,,N44832,piper,pa-28-161,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,01-01-1982,1982,0
