,Unnamed: 0.1,Unnamed: 0,Event.Id,Investigation.Type,Event.Date,Location,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model,Max.Capacity
0,0,7,20020909X01562,Accident,1982-01-01,WA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna140,2
1,1,12,20020917X02148,Accident,1982-01-02,LA,Non-Fatal,Destroyed,bellanca,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,0.0,0.0,bellanca17-30A,5
2,2,17,20020917X01656,Accident,1982-01-02,AK,Fatal(3),Destroyed,cessna,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,3.0,3.0,100.0,0.0,cessna180,6
3,3,18,20020917X02481,Accident,1982-01-02,PA,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessna172,4
4,4,20,20020917X01894,Accident,1982-01-02,MI,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna152,3
5,5,21,20020917X01776,Accident,1982-01-02,MI,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna150L,2
6,6,29,20020917X02155,Accident,1982-01-03,CA,Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,2.0,2.0,0.0,0.0,bellanca7GCBC,3
7,7,30,20020917X01992,Accident,1982-01-03,TX,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,2.0,2.0,0.0,0.0,cessna182,4
8,8,32,20020917X02618,Accident,1982-01-04,OR,Fatal(4),Destroyed,piper,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,4.0,4.0,100.0,0.0,piperPA-28-161,4
9,9,33,20020917X02254,Accident,1982-01-04,NV,Fatal(2),Destroyed,piper,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,piperPA-34-200T,7
