,Event.Id,Investigation.Type,Event.Date,Location,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model
7,20020909X01562,Accident,1982-01-01,"PULLMAN, WA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna140
12,20020917X02148,Accident,1982-01-02,"HOMER, LA",Non-Fatal,Destroyed,bellanca,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,0.0,0.0,bellanca17-30A
17,20020917X01656,Accident,1982-01-02,"SKWENTA, AK",Fatal(3),Destroyed,cessna,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,3.0,3.0,100.0,0.0,cessna180
18,20020917X02481,Accident,1982-01-02,"GALETON, PA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessna172
20,20020917X01894,Accident,1982-01-02,"YPSILANTI, MI",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna152
21,20020917X01776,Accident,1982-01-02,"CHARLOTTE, MI",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna150L
29,20020917X02155,Accident,1982-01-03,"SAN CLEMENTINE, CA",Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,2.0,2.0,0.0,0.0,bellanca7GCBC
30,20020917X01992,Accident,1982-01-03,"FORT WORTH, TX",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,2.0,2.0,0.0,0.0,cessna182
32,20020917X02618,Accident,1982-01-04,"PLEASANT HILL, OR",Fatal(4),Destroyed,piper,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,4.0,4.0,100.0,0.0,piperPA-28-161
33,20020917X02254,Accident,1982-01-04,"NEAR LAS VEGAS, NV",Fatal(2),Destroyed,piper,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,piperPA-34-200T
35,20020917X01991,Accident,1982-01-04,"ESTANCIA, NM",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,0.0,0.0,piperPA-28R-200
36,20020917X02410,Accident,1982-01-04,SAINT CROIX,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Taxi,Probable Cause,2.0,2.0,50.0,0.0,cessna206
38,20020917X02253,Accident,1982-01-05,"BLACK CANYON CI, AZ",Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,piperPA-22
41,20020917X01993,Accident,1982-01-05,"LONOKE, AR",Non-Fatal,Substantial,piper,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Descent,Probable Cause,2.0,1.0,50.0,50.0,piperPA-24-250
42,20020917X01658,Accident,1982-01-05,"GASTONIA, NC",Non-Fatal,Substantial,piper,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,piperPA-28R-200
43,20020917X02156,Accident,1982-01-05,"SPRINGERVILLE, AZ",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessnaTR182
44,20020917X01651,Accident,1982-01-05,"BETHEL, AK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,2.0,2.0,100.0,0.0,cessnaA185F
47,20020917X01913,Accident,1982-01-06,"JACKSON, WY",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,3.0,0.0,0.0,100.0,beech35
48,20020917X01777,Accident,1982-01-06,"PAXTON, IL",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna152
51,20020917X01964,Accident,1982-01-07,"HELENA, MT",Fatal(2),Destroyed,cessna,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,cessna210
52,20020917X01659,Accident,1982-01-07,"WESTMINISTER, MD",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,beechV35
54,20020917X02414,Accident,1982-01-08,"ODESSA, FL",Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1.0,1.0,100.0,0.0,cessna172M
55,20020917X01881,Accident,1982-01-08,"NEW PHILADELPHI, OH",Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,2.0,2.0,100.0,0.0,piperPA-28-140
57,20020917X02484,Accident,1982-01-08,"CUTCHOGUE, NY",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,cessna152
58,20020917X02431,Accident,1982-01-08,"LIBERTY, MO",Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,piperPA-24-250
59,20020917X01779,Accident,1982-01-08,"PEORIA, IL",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna152
60,20020917X01778,Accident,1982-01-08,"SANDUSKY, OH",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna172N
61,20020917X01717,Accident,1982-01-08,"GRANTITEVILLE, SC",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152
63,20020917X02246,Accident,1982-01-09,"NAPA, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,4.0,1.0,25.0,75.0,cessnaP210N
64,20020917X01995,Accident,1982-01-09,"FRUIT VALE, TX",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna172
67,20020917X01981,Accident,1982-01-09,"STEAMBOAT SPRIN, CO",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna182A
68,20020917X02341,Accident,1982-01-10,"OKEECHOBEE, FL",Non-Fatal,Destroyed,piper,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause,2.0,2.0,100.0,0.0,piperPA-23-250
