Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Event.Year,Total_Extracted_Injuries
1948-10-24,"MOOSE CREEK, ID",United States,Fatal(2),Destroyed,NC6404,stinson,108-3,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,1948,2
1962-07-19,"BRIDGEPORT, CA",United States,Fatal(4),Destroyed,N5069P,piper,pa24-180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,UNK,1962,4
1974-08-30,"Saltville, VA",United States,Fatal(3),Destroyed,N5142R,cessna,172m,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,1.0,IMC,1974,3
1977-06-19,"EUREKA, CA",United States,Fatal(2),Destroyed,N1168J,rockwell,112,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,1977,2
1979-08-02,"Canton, OH",United States,Fatal(1),Destroyed,N15NY,cessna,501,No,1.0,Reciprocating,Personal,1.0,2.0,0.0,0.0,VMC,1979,1
1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,CF-TLU,mcdonnell douglas,dc9,No,2.0,Turbo Fan,Personal,0.0,0.0,1.0,44.0,VMC,1979,0
1981-08-01,"COTTON, MN",United States,Fatal(4),Destroyed,N4988E,cessna,180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,1981,4
1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Substantial,N2482N,cessna,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,1982,0
1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,N7967Q,cessna,401b,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,1982,0
1982-01-01,"JACKSONVILLE, FL",United States,Non-Fatal,Substantial,N3906K,north american,navion l-17b,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,IMC,1982,0
1982-01-01,"HOBBS, NM",United States,Non-Fatal,Substantial,N44832,piper,pa-28-161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1982,0
1982-01-01,"TUSKEGEE, AL",United States,Non-Fatal,Substantial,N4275S,beech,v35b,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1982,0
1982-01-02,"HOMER, LA",United States,Non-Fatal,Destroyed,N14779,bellanca,17-30a,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,1982,0
1982-01-02,"HEARNE, TX",United States,Fatal(1),Destroyed,N758SK,cessna,r172k,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1982,1
1982-01-02,"CHICKASHA, OK",United States,Fatal(1),Destroyed,N4876K,navion,a,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1982,1
1982-01-02,"LITTLE ROCK, AR",United States,Fatal(2),Destroyed,N9779L,beech,19,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,1982,2
1982-01-02,"MIDWAY, UT",United States,Non-Fatal,Destroyed,N51735,enstrom,280c,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,1982,0
1982-01-02,"SKWENTA, AK",United States,Fatal(3),Destroyed,N7641A,cessna,180,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,1982,3
1982-01-02,"GALETON, PA",United States,Non-Fatal,Substantial,N25084,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1982,0
1982-01-02,"MIAMI, FL",United States,Non-Fatal,Substantial,N23BS,smith,wcs-222 (bell 47g),No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,1982,0
1982-01-02,"YPSILANTI, MI",United States,Non-Fatal,Substantial,N68812,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,1982,0
1982-01-02,"CHARLOTTE, MI",United States,Non-Fatal,Substantial,N1549Q,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,1982,0
1982-01-02,"CHAMBLEE, GA",United States,Non-Fatal,Substantial,N5745Y,bell,206l-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,1.0,VMC,1982,0
1982-01-03,"VAN NUYS, CA",United States,Incident,Minor,N5018P,piper,pa-24-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1982,0
1982-01-03,"10 NM W LEE VIN, CA",United States,Fatal(2),Destroyed,N28912,grumman,aa-5b,No,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC,1982,2
1982-01-03,"ASHLAND, VA",United States,Fatal(8),Destroyed,N2620L,cessna,414a,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,1982,8
