,Event.Id,Investigation.Type,Event.Date,Location,Latitude,Longitude,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model
7,20020909X01562,Accident,1982-01-01,WA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna140
12,20020917X02148,Accident,1982-01-02,LA,,,Non-Fatal,Destroyed,bellanca,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,0.0,0.0,bellanca17-30A
17,20020917X01656,Accident,1982-01-02,AK,,,Fatal(3),Destroyed,cessna,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,3.0,3.0,100.0,0.0,cessna180
18,20020917X02481,Accident,1982-01-02,PA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessna172
20,20020917X01894,Accident,1982-01-02,MI,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna152
21,20020917X01776,Accident,1982-01-02,MI,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna150L
29,20020917X02155,Accident,1982-01-03,CA,,,Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,2.0,2.0,0.0,0.0,bellanca7GCBC
30,20020917X01992,Accident,1982-01-03,TX,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,2.0,2.0,0.0,0.0,cessna182
32,20020917X02618,Accident,1982-01-04,OR,,,Fatal(4),Destroyed,piper,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,4.0,4.0,100.0,0.0,piperPA-28-161
33,20020917X02254,Accident,1982-01-04,NV,,,Fatal(2),Destroyed,piper,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,piperPA-34-200T
35,20020917X01991,Accident,1982-01-04,NM,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,0.0,0.0,piperPA-28R-200
36,20020917X02410,Accident,1982-01-04,IX,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Taxi,Probable Cause,2.0,2.0,50.0,0.0,cessna206
38,20020917X02253,Accident,1982-01-05,AZ,,,Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,piperPA-22
41,20020917X01993,Accident,1982-01-05,AR,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Descent,Probable Cause,2.0,1.0,50.0,50.0,piperPA-24-250
42,20020917X01658,Accident,1982-01-05,NC,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,piperPA-28R-200
43,20020917X02156,Accident,1982-01-05,AZ,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessnaTR182
44,20020917X01651,Accident,1982-01-05,AK,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,2.0,2.0,100.0,0.0,cessnaA185F
47,20020917X01913,Accident,1982-01-06,WY,,,Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,3.0,0.0,0.0,100.0,beech35
48,20020917X01777,Accident,1982-01-06,IL,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna152
51,20020917X01964,Accident,1982-01-07,MT,,,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,cessna210
52,20020917X01659,Accident,1982-01-07,MD,,,Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,beechV35
54,20020917X02414,Accident,1982-01-08,FL,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1.0,1.0,100.0,0.0,cessna172M
55,20020917X01881,Accident,1982-01-08,OH,,,Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,2.0,2.0,100.0,0.0,piperPA-28-140
57,20020917X02484,Accident,1982-01-08,NY,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,cessna152
58,20020917X02431,Accident,1982-01-08,MO,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,piperPA-24-250
59,20020917X01779,Accident,1982-01-08,IL,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna152
60,20020917X01778,Accident,1982-01-08,OH,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna172N
61,20020917X01717,Accident,1982-01-08,SC,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152
63,20020917X02246,Accident,1982-01-09,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,4.0,1.0,25.0,75.0,cessnaP210N
64,20020917X01995,Accident,1982-01-09,TX,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,cessna172
67,20020917X01981,Accident,1982-01-09,CO,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna182A
68,20020917X02341,Accident,1982-01-10,FL,,,Non-Fatal,Destroyed,piper,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause,2.0,2.0,100.0,0.0,piperPA-23-250
69,20020917X02158,Accident,1982-01-10,AZ,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,4.0,0.0,0.0,100.0,cessna172N
74,20020917X01623,Accident,1982-01-10,AK,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,3.0,0.0,VMC,Cruise,Probable Cause,3.0,3.0,0.0,0.0,cessnaU206
75,20020917X01985,Accident,1982-01-11,MT,,,Non-Fatal,Destroyed,piper,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,50.0,0.0,piperPA-28-140
77,20020917X01982,Accident,1982-01-11,CO,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna180
87,20020917X02575,Accident,1982-01-13,WA,,,Non-Fatal,Substantial,piper,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-31-350
88,20020917X01966,Accident,1982-01-15,UT,,,Fatal(3),Destroyed,cessna,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,3.0,3.0,100.0,0.0,cessnaT210N
90,20020917X02395,Accident,1982-01-15,FL,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna172
92,20020917X02576,Accident,1982-01-15,WA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna140
97,20020917X02487,Accident,1982-01-16,VT,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,1.0,0.0,0.0,100.0,cessna150M
98,20020917X02321,Accident,1982-01-17,CA,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,1.0,1.0,100.0,0.0,cessna150M
100,20020917X02294,Accident,1982-01-17,AZ,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Other,Probable Cause,1.0,1.0,0.0,0.0,cessna182P
105,20020917X01624,Accident,1982-01-17,AK,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,2.0,1.0,0.0,50.0,cessna150
107,20020917X01645,Accident,1982-01-17,AK,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna170B
109,20020917X02624,Accident,1982-01-18,WA,,,Non-Fatal,Destroyed,beech,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC,Descent,Probable Cause,4.0,4.0,50.0,0.0,beechC23
110,20020917X02257,Accident,1982-01-18,CA,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,cessna172M
111,20020917X01723,Accident,1982-01-18,GA,,,Fatal(3),Destroyed,piper,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,3.0,3.0,100.0,0.0,piperPA-28-180
114,20020917X02476,Accident,1982-01-19,KS,,,Fatal(1),Destroyed,mooney,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1.0,1.0,100.0,0.0,mooneyM20F
116,20020917X01978,Accident,1982-01-19,MT,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Business,1.0,2.0,0.0,0.0,UNK,Cruise,Probable Cause,3.0,3.0,100.0,0.0,cessna177B
121,20020917X02488,Accident,1982-01-19,NH,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,cessna152
