Location,Percent.Serious.and.Fatal,Percent.Uninjured
DC,0.0,100.0
AK,14.905459196272318,79.06523858348913
AZ,16.628718882817243,75.82919357509522
ND,19.36695768368442,72.48016523085423
MN,20.361696591204787,71.76034348165496
FL,21.522437751617957,68.55174357030307
MI,21.728907330567083,68.94882434301522
MD,21.9140625,68.7109375
ID,21.995192307692307,69.59134615384616
KS,22.01149425287356,73.69458128078819
MA,22.076023391812864,68.85964912280701
WY,22.32596742400664,66.23353044921673
WA,22.46376811594203,68.36677814938685
NJ,22.595078299776286,64.82102908277405
NV,22.71505376344086,69.89247311827957
WI,22.991967871485944,64.53815261044177
NE,23.095238095238095,65.71428571428571
IN,24.39922480620155,63.468992248062015
CT,24.572649572649574,65.38461538461539
OH,24.72353870458136,64.66824644549763
VA,24.943181818181817,68.42510153077163
DE,25.0,70.83333333333333
RI,25.0,73.33333333333334
NH,25.0,61.36363636363637
MO,25.02659574468085,66.27659574468085
MT,25.11185682326622,65.6599552572707
AR,25.252525252525253,63.10606060606061
PA,25.804776739356182,64.25233644859813
ME,26.239837398373982,66.46341463414635
TX,26.244183994352458,62.57809491721216
GA,26.655405405405407,64.75225225225226
VT,26.666666666666668,68.33333333333333
AL,26.95493897177869,60.44777212761163
NC,27.05673758865248,63.54609929078014
OK,27.577519379844958,62.99418604651163
OR,27.625570776255707,64.9923896499239
KY,28.27956989247312,58.78136200716846
MS,28.92628205128205,62.82051282051282
NY,29.005432748824642,62.18080799632798
NM,29.012345679012345,63.95061728395062
CA,29.04181090965988,60.702907864381906
UT,29.38818565400844,61.66666666666667
SC,30.37313432835821,63.221393034825866
WV,30.76923076923077,43.26923076923077
TN,30.96419416191185,55.19391383444968
SD,31.818181818181817,65.53030303030303
IL,32.58451243745362,58.058346230615136
CO,32.92453161798306,60.809343034904565
PR,35.025484199796125,55.50458715596331
HI,37.42990021985456,53.11550820226619
LA,39.17997699974444,52.55586710708215
IA,40.73484676605061,50.91816371548427
